Brand Name	Product Name	Category	Average Rating	Number of Reviews
Foreo	Foreo LUNA™ For Ultra-Sensitive Skin	Body-Care-Tools	4.0667	15
Clarisonic	Clarisonic Deep Pore Detoxifying Solution Replenishment Set	Body-Care-Tools	5	2
Foreo	Foreo ISSA™ Brush Head	Body-Care-Tools	4.6	5
Foreo	Foreo LUNA™ For Men	Body-Care-Tools	4.5455	11
Clarisonic	Clarisonic Body Brush Head	Body-Care-Tools	0	0
CLINIQUE	CLINIQUE Clinique for Men Sonic System Deep Cleansing Brush	Body-Care-Tools	5	1
Omorovicza	Omorovicza Cleansing Mitt	Body-Care-Tools	4.75	4
Skinny & Co.	Skinny & Co. Oil Pull	Body-Care-Tools	4.2	10
PMD	PMD PMD Replacement Discs	Body-Care-Tools	4	1
CLINIQUE	CLINIQUE Clinique for Men Sonic Cleansing Brush Head Refill	Body-Care-Tools	0	0
philosophy	philosophy Purity Made Simple Cleanse & Massage One-Touch Facialist Kit	Body-Care-Tools	3.3333	9
Foreo	Foreo ISSA™ mini Hybrid Brush Head	Body-Care-Tools	5	1
CLINIQUE	CLINIQUE Sonic System Extra Gentle Cleansing Brush Head	Body-Care-Tools	5	1
Clarisonic	Clarisonic Sonic Radiance™ Cleansing Device Customization Set	Body-Care-Tools	4	1
Foreo	Foreo ISSA™ mini Brush Head	Body-Care-Tools	0	0
Nurse Jamie	Nurse Jamie ACELLerator Ultra Beauty Device for Face & Body	Body-Care-Tools	5	1
Bliss	Bliss Fabulips ’pout’-o-matic	Body-Care-Tools	5	5
Tria	Tria Age-Defying Laser	Body-Care-Tools	3.8	1
Tria	Tria Acne Clearing Blue Light	Body-Care-Tools	3	6
Clarisonic	Clarisonic Luxe Body Brush Head - Velvet Foam	Body-Care-Tools	2.6667	6
Origins	Origins Charcoal Infused Body Puff	Body-Care-Tools	1	1
NuFACE	NuFACE Trinity® Facial Toning Kit in Chic Black	Body-Care-Tools	1	1
Foreo	Foreo Complete Men’s Grooming Collection	Body-Care-Tools	0	0
